0,1,2
-13.6116465768,-198.446634377,-720.560835154
1022.15986318,157.990715009,79.2536030233
1087.98309175,-415.579066481,-483.312142815
1846.41138909,1724.88208929,224.004965689
1304.43939717,-687.224805191,-79.8658461038
1463.55475388,-709.705610695,9.7658988071
2590.5374228,-152.641041863,-159.751164598
2774.07677325,-881.076600859,93.2845805972
2979.72370601,-1072.94233993,164.157615116
1691.96921693,1705.25249997,-137.539084402
1137.27130885,-681.21444979,-45.0718612069
3325.77267243,478.902181611,147.489105664
3335.277082,-851.151779538,-646.700002006
7142.86704597,874.485713489,161.252208327
6838.6308454,-1895.0264717,-86.7687693839
-1113.64271555,1.120140096,231.672623502
1590.41224881,1394.01685037,307.890314795
2054.52797783,2.1603535705,-633.775861943
-1246.00921099,-80.8108989388,278.404834343
-906.122735878,22.6119401932,398.549713948
-67.3231072928,437.668244009,-472.64707813
-794.302917178,168.715310664,360.362442616
-865.970659956,-226.295765423,228.425588019
-273.021052468,194.49279583,-303.892613272
-239.4434487,-304.906595431,278.715726048
-15.8176455244,-294.742091354,284.022156946
720.837995352,-77.7324610662,465.878023689
1186.16760898,-268.816043055,86.003893164
155.18812957,834.708377614,-226.700606627
-129.631513796,-411.777545504,127.250542201
