student,currProb,course,session,priorTutorAction,reward,cumul_Interaction,Level,0,1,2,3,4,5
0012-F14,2.-1.1.0,226-001-BARNES-F14,6,PS,0,160,2,0,0,0,0,0,0
0012-F14,2.-1.1.1,226-001-BARNES-F14,6,PS,15.82767402,177,2,0,0,0,1,0,0
0012-F14,3.1.1.0,226-001-BARNES-F14,6,WE,0,10,3,0,0,0,0,0,0
0012-F14,3.1.2.0,226-001-BARNES-F14,6,PS,0,19,3,0,0,3,1,0,0
0012-F14,3.1.3.0,226-001-BARNES-F14,6,PS,0,79,3,0,0,0,0,0,0
0012-F14,3.-1.2.0,226-001-BARNES-F14,6,PS,0,106,3,0,0,0,0,0,0
0012-F14,3.-1.2.1,226-001-BARNES-F14,6,PS,0,108,3,0,0,0,0,0,0
0012-F14,3.-1.3.1,226-001-BARNES-F14,7,PS,0,112,3,0,0,0,0,0,0
0012-F14,3.-1.4.0,226-001-BARNES-F14,7,PS,0,115,3,0,0,0,0,0,0
0012-F14,3.-1.4.1,226-001-BARNES-F14,7,PS,0,125,3,0,0,0,0,0,0
0012-F14,3.-1.2.0,226-001-BARNES-F14,7,PS,0,127,3,0,0,0,0,0,0
0012-F14,3.-1.2.1,226-001-BARNES-F14,7,PS,0,157,3,0,0,0,0,0,0
0012-F14,3.-1.3.0,226-001-BARNES-F14,9,PS,0,168,3,0,0,0,0,0,0
0012-F14,3.-1.3.1,226-001-BARNES-F14,9,PS,0,185,3,0,0,0,1,0,0
0012-F14,3.-1.4.0,226-001-BARNES-F14,9,PS,-8.613966678,199,3,0,0,0,0,0,0
0012-F14,4.1.1.0,226-001-BARNES-F14,9,PS,0,19,4,0,0,0,0,0,0
0012-F14,4.1.2.0,226-001-BARNES-F14,9,WE,0,29,4,0,0,0,0,0,0
0012-F14,4.1.3.0,226-001-BARNES-F14,9,PS,0,45,4,0,0,0,0,0,0
0012-F14,4.-1.3.0,226-001-BARNES-F14,9,PS,0,55,4,0,0,0,0,0,0
0012-F14,4.-1.3.1,226-001-BARNES-F14,10,PS,0,103,4,0,0,0,0,0,0
0012-F14,4.-1.4.0,226-001-BARNES-F14,10,PS,-20.87912088,140,4,0,0,0,0,0,0
0012-F14,5.1.1.0,226-001-BARNES-F14,11,WE,0,8,5,0,0,0,0,0,0
0012-F14,5.1.2.0,226-001-BARNES-F14,11,PS,0,40,5,0,0,0,0,0,0
0012-F14,5.1.3.0,226-001-BARNES-F14,11,PS,0,52,5,0,0,0,0,0,0
0012-F14,5.-1.3.0,226-001-BARNES-F14,11,PS,0,70,5,0,0,0,0,0,0
0012-F14,5.-1.4.0,226-001-BARNES-F14,11,PS,0,73,5,0,0,0,0,0,0
0012-F14,5.-1.4.1,226-001-BARNES-F14,11,PS,0,75,5,0,0,0,0,0,0
0012-F14,5.-1.4.1,226-001-BARNES-F14,11,PS,0,82,5,0,0,0,0,0,0
0012-F14,5.-1.4.1,226-001-BARNES-F14,11,PS,0,191,5,0,0,0,0,0,0
0012-F14,5.-1.4.0,226-001-BARNES-F14,12,PS,46.42857143,211,5,0,0,0,0,0,0
0012-F14,6.1.1.0,226-001-BARNES-F14,12,PS,0,72,6,0,0,0,0,0,0
0012-F14,6.1.2.0,226-001-BARNES-F14,12,WE,0,75,6,0,0,0,0,0,0
0012-F14,6.1.3.0,226-001-BARNES-F14,12,PS,78.27102804,119,6,0,1,0,0,0,0
0016-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0,8,1,0,0,0,0,0,0
0016-F14,1.0.2.0,226-001-BARNES-F14,1,PS,0,35,1,0,0,0,0,0,0
0016-F14,1.0.3.0,226-001-BARNES-F14,1,PS,0,93,1,0,0,0,0,0,0
0016-F14,1.0.4.0,226-001-BARNES-F14,1,PS,40.78947368,105,1,0,0,0,0,0,0
0016-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0,19,2,0,0,0,0,0,0
0016-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0,26,2,0,0,0,0,0,0
0016-F14,2.1.3.0,226-001-BARNES-F14,1,PS,26.94161875,41,2,0,0,0,0,0,0
0016-F14,3.1.1.0,226-001-BARNES-F14,1,PS,0,30,3,0,0,0,0,0,0
0016-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0,44,3,0,0,0,0,0,0
0016-F14,3.1.3.0,226-001-BARNES-F14,1,PS,22.75434446,67,3,0,0,0,0,0,0
0016-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0,22,4,0,0,0,0,0,0
0016-F14,4.1.2.0,226-001-BARNES-F14,2,WE,0,30,4,0,0,0,0,0,0
0016-F14,4.1.3.0,226-001-BARNES-F14,2,PS,-69.23543689,116,4,0,0,3,0,0,0
0016-F14,5.1.1.0,226-001-BARNES-F14,3,PS,0,76,5,0,0,0,0,0,0
0016-F14,5.1.2.0,226-001-BARNES-F14,3,WE,0,87,5,0,0,0,0,0,0
0016-F14,5.1.3.0,226-001-BARNES-F14,3,PS,-67.85287081,299,5,0,0,0,0,0,0
0016-F14,6.1.1.0,226-001-BARNES-F14,5,PS,0,23,6,0,0,0,0,0,0
0016-F14,6.1.2.0,226-001-BARNES-F14,5,WE,0,26,6,0,0,0,0,0,0
0016-F14,6.1.3.0,226-001-BARNES-F14,5,PS,67.91128203,82,6,0,0,0,0,0,0
001e-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0,20,1,0,0,0,0,0,0
001e-F14,1.0.2.0,226-001-BARNES-F14,2,WE,0,25,1,0,0,0,0,0,0
001e-F14,1.0.3.0,226-001-BARNES-F14,2,PS,0,104,1,0,0,0,0,0,0
