student,currProb,course,session,priorTutorAction,reward
001e-F14,2.1.1.0,226-001-BARNES-F14,2,PS,0.0
001e-F14,2.1.2.0,226-001-BARNES-F14,2,WE,0.0
001e-F14,2.1.3.0,226-001-BARNES-F14,2,PS,-96.58779301
001e-F14,3.1.1.0,226-001-BARNES-F14,2,WE,0.0
001e-F14,3.1.2.0,226-001-BARNES-F14,2,PS,0.0
001e-F14,3.1.3.0,226-001-BARNES-F14,2,PS,146.2837562
001e-F14,4.1.1.0,226-001-BARNES-F14,2,WE,0.0
001e-F14,4.1.2.0,226-001-BARNES-F14,2,PS,0.0
001e-F14,4.1.3.0,226-001-BARNES-F14,2,PS,0.0
001e-F14,4.1.2.0,226-001-BARNES-F14,2,PS,-1.378294036
001e-F14,5.1.1.0,226-001-BARNES-F14,2,PS,0.0
001e-F14,5.1.2.0,226-001-BARNES-F14,2,WE,0.0
001e-F14,5.1.3.0,226-001-BARNES-F14,2,PS,-94.56168831
001e-F14,6.1.1.0,226-001-BARNES-F14,2,PS,0.0
001e-F14,6.1.2.0,226-001-BARNES-F14,2,WE,0.0
001e-F14,6.1.3.0,226-001-BARNES-F14,2,PS,50.12744265
0026-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0.0
0026-F14,1.0.2.0,226-001-BARNES-F14,1,PS,0.0
0026-F14,1.0.3.0,226-001-BARNES-F14,2,PS,0.0
0026-F14,1.0.4.0,226-001-BARNES-F14,2,PS,1.973684211
0026-F14,2.1.1.0,226-001-BARNES-F14,2,WE,0.0
0026-F14,2.1.2.0,226-001-BARNES-F14,2,WE,0.0
0026-F14,2.1.3.0,226-001-BARNES-F14,2,PS,-48.52830606
0026-F14,3.1.1.0,226-001-BARNES-F14,2,WE,0.0
0026-F14,3.1.2.0,226-001-BARNES-F14,2,PS,0.0
0026-F14,3.1.3.0,226-001-BARNES-F14,2,PS,71.02064127
0026-F14,4.1.1.0,226-001-BARNES-F14,2,PS,0.0
0026-F14,4.1.2.0,226-001-BARNES-F14,2,WE,0.0
0026-F14,4.1.3.0,226-001-BARNES-F14,2,PS,0.0
0026-F14,4.-1.3.0,226-001-BARNES-F14,2,PS,0.0
0026-F14,4.-1.4.0,226-001-BARNES-F14,2,PS,0.0
0026-F14,4.-1.3.0,226-001-BARNES-F14,2,PS,0.0
0026-F14,4.-1.3.1,226-001-BARNES-F14,2,PS,0.0
0026-F14,4.-1.3.0,226-001-BARNES-F14,2,PS,0.0
0026-F14,4.-1.3.1,226-001-BARNES-F14,2,PS,0.0
0026-F14,4.-1.3.0,226-001-BARNES-F14,3,PS,0.0
0026-F14,4.-1.3.1,226-001-BARNES-F14,3,PS,0.0
0026-F14,4.-1.3.0,226-001-BARNES-F14,4,PS,-113.037448
0026-F14,5.-1.1.0,226-001-BARNES-F14,5,WE,0.0
0026-F14,5.-1.2.0,226-001-BARNES-F14,5,PS,0.0
0026-F14,5.-1.3.0,226-001-BARNES-F14,5,PS,0.0
0026-F14,5.-1.4.0,226-001-BARNES-F14,5,PS,81.07142857
0026-F14,6.-1.1.0,226-001-BARNES-F14,5,PS,0.0
0026-F14,6.-1.2.0,226-001-BARNES-F14,5,PS,0.0
0026-F14,6.-1.3.0,226-001-BARNES-F14,5,WE,0.0
0026-F14,6.-1.4.0,226-001-BARNES-F14,5,PS,0.0
0026-F14,6.-1.4.0,226-001-BARNES-F14,5,PS,0.0
0026-F14,6.-1.4.1,226-001-BARNES-F14,5,PS,-25.47297297
0030-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0.0
0030-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0.0
0030-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0.0
0030-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-65.13157895
0030-F14,2.1.1.0,226-001-BARNES-F14,1,WE,0.0
0030-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0.0
0030-F14,2.1.3.0,226-001-BARNES-F14,1,PS,41.26603273
0030-F14,3.1.1.0,226-001-BARNES-F14,1,WE,0.0
0030-F14,3.1.2.0,226-001-BARNES-F14,1,PS,0.0
0030-F14,3.1.3.0,226-001-BARNES-F14,1,PS,48.33156564
0030-F14,4.1.1.0,226-001-BARNES-F14,1,WE,0.0
0030-F14,4.1.2.0,226-001-BARNES-F14,2,PS,0.0
0030-F14,4.1.3.0,226-001-BARNES-F14,2,PS,-69.28744799
0030-F14,5.1.1.0,226-001-BARNES-F14,2,WE,0.0
0030-F14,5.1.2.0,226-001-BARNES-F14,2,PS,0.0
0030-F14,5.1.3.0,226-001-BARNES-F14,2,PS,0.132433356
0030-F14,6.-1.1.0,226-001-BARNES-F14,2,PS,0.0
0030-F14,6.-1.2.0,226-001-BARNES-F14,2,WE,0.0
0030-F14,6.-1.3.0,226-001-BARNES-F14,2,WE,0.0
0030-F14,6.-1.4.0,226-001-BARNES-F14,2,PS,-36.93262641
0033-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0.0
0033-F14,1.0.2.0,226-001-BARNES-F14,4,WE,0.0
0033-F14,1.0.3.0,226-001-BARNES-F14,4,WE,0.0
0033-F14,1.0.4.0,226-001-BARNES-F14,5,PS,0.0
0033-F14,1.0.1.0,226-001-BARNES-F14,5,PS,-34.86842105
0033-F14,2.1.1.0,226-001-BARNES-F14,5,PS,0.0
0033-F14,2.1.2.0,226-001-BARNES-F14,5,WE,0.0
0033-F14,2.1.3.0,226-001-BARNES-F14,5,PS,0.0
0033-F14,2.1.1.0,226-001-BARNES-F14,5,PS,0.0
0033-F14,2.-1.1.0,226-001-BARNES-F14,5,PS,0.0
0033-F14,2.-1.4.0,226-001-BARNES-F14,5,PS,32.93293718
0033-F14,3.1.1.0,226-001-BARNES-F14,5,PS,0.0
0033-F14,3.1.2.0,226-001-BARNES-F14,5,WE,0.0
0033-F14,3.1.3.0,226-001-BARNES-F14,5,PS,0.0
0033-F14,3.1.1.0,226-001-BARNES-F14,5,PS,0.0
0033-F14,3.-1.1.0,226-001-BARNES-F14,5,PS,0.0
0033-F14,3.-1.4.0,226-001-BARNES-F14,6,PS,-83.3392414
0033-F14,4.1.1.0,226-001-BARNES-F14,6,WE,0.0
0033-F14,4.1.2.0,226-001-BARNES-F14,6,PS,0.0
0033-F14,4.1.3.0,226-001-BARNES-F14,6,PS,174.3818681
0033-F14,5.1.1.0,226-001-BARNES-F14,6,WE,0.0
0033-F14,5.1.2.0,226-001-BARNES-F14,6,PS,0.0
0033-F14,5.1.3.0,226-001-BARNES-F14,6,PS,-70.63824334
0033-F14,6.1.1.0,226-001-BARNES-F14,6,PS,0.0
0033-F14,6.1.2.0,226-001-BARNES-F14,6,WE,0.0
0033-F14,6.1.3.0,226-001-BARNES-F14,6,PS,0.0
0033-F14,6.-1.3.0,226-001-BARNES-F14,7,PS,0.0
0033-F14,6.-1.3.0,226-001-BARNES-F14,8,PS,0.0
0033-F14,6.-1.3.1,226-001-BARNES-F14,8,PS,0.0
0033-F14,6.-1.4.0,226-001-BARNES-F14,8,PS,-10.90133195
0035-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0.0
0035-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0.0
0035-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0.0
0035-F14,1.0.4.0,226-001-BARNES-F14,1,PS,40.78947368
0035-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0.0
0035-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0.0
0035-F14,2.1.3.0,226-001-BARNES-F14,1,PS,26.94161875
0035-F14,3.1.1.0,226-001-BARNES-F14,1,PS,0.0
0035-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0.0
0035-F14,3.1.3.0,226-001-BARNES-F14,1,PS,0.0
0035-F14,3.-1.4.0,226-001-BARNES-F14,1,PS,0.0
0035-F14,3.-1.4.0,226-001-BARNES-F14,1,PS,0.0
0035-F14,3.-1.3.1,226-001-BARNES-F14,1,PS,0.0
0035-F14,3.-1.3.0,226-001-BARNES-F14,1,PS,-167.7310924
0035-F14,4.-1.2.0,226-001-BARNES-F14,2,WE,0.0
0035-F14,4.-1.4.0,226-001-BARNES-F14,2,PS,0.0
0035-F14,4.-1.1.0,226-001-BARNES-F14,2,PS,0.0
0035-F14,4.-1.3.0,226-001-BARNES-F14,2,PS,0.0
0035-F14,4.-1.3.1,226-001-BARNES-F14,2,PS,0.0
0035-F14,4.-1.3.0,226-001-BARNES-F14,3,PS,0.0
0035-F14,4.-1.3.1,226-001-BARNES-F14,5,PS,0.0
0035-F14,4.-1.3.1,226-001-BARNES-F14,5,PS,0.0
0035-F14,5.-1.3.0,226-001-BARNES-F14,5,WE,0.0
0035-F14,5.-1.4.1,226-001-BARNES-F14,5,PS,0.0
0035-F14,5.-1.1.0,226-001-BARNES-F14,5,PS,0.0
0035-F14,5.-1.2.0,226-001-BARNES-F14,5,PS,0.0
0035-F14,5.-1.4.0,226-001-BARNES-F14,5,PS,12.5
0035-F14,6.-1.2.1,226-001-BARNES-F14,5,PS,0.0
0035-F14,6.-1.3.0,226-001-BARNES-F14,6,WE,0.0
0035-F14,6.-1.1.1,226-001-BARNES-F14,6,PS,0.0
0035-F14,6.-1.4.0,226-001-BARNES-F14,6,PS,54.52702703
0039-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0.0
0039-F14,1.0.2.0,226-001-BARNES-F14,2,WE,0.0
0039-F14,1.0.3.0,226-001-BARNES-F14,2,WE,0.0
0039-F14,1.0.4.0,226-001-BARNES-F14,2,PS,-34.86842105
0039-F14,2.1.1.0,226-001-BARNES-F14,2,WE,0.0
0039-F14,2.1.2.0,226-001-BARNES-F14,2,PS,0.0
0039-F14,2.1.3.0,226-001-BARNES-F14,2,PS,102.5995135
0039-F14,3.1.1.0,226-001-BARNES-F14,3,WE,0.0
0039-F14,3.1.2.0,226-001-BARNES-F14,3,PS,0.0
0039-F14,3.1.3.0,226-001-BARNES-F14,3,PS,-126.7602187
0039-F14,4.1.1.0,226-001-BARNES-F14,3,WE,0.0
0039-F14,4.1.2.0,226-001-BARNES-F14,3,WE,0.0
0039-F14,4.1.3.0,226-001-BARNES-F14,3,PS,34.74341193
0039-F14,5.1.1.0,226-001-BARNES-F14,3,WE,0.0
0039-F14,5.1.2.0,226-001-BARNES-F14,3,WE,0.0
0039-F14,5.1.3.0,226-001-BARNES-F14,3,PS,0.0
0039-F14,5.-1.3.0,226-001-BARNES-F14,3,PS,0.0
0039-F14,5.-1.4.0,226-001-BARNES-F14,3,PS,0.0
0039-F14,5.-1.4.1,226-001-BARNES-F14,3,PS,0.0
0039-F14,5.-1.4.0,226-001-BARNES-F14,3,PS,0.0
0039-F14,5.-1.4.1,226-001-BARNES-F14,3,PS,0.0
0039-F14,5.-1.4.0,226-001-BARNES-F14,3,PS,0.0
0039-F14,5.-1.4.1,226-001-BARNES-F14,3,PS,0.0
0039-F14,5.-1.4.1,226-001-BARNES-F14,3,PS,0.0
0039-F14,5.-1.4.0,226-001-BARNES-F14,3,PS,0.0
0039-F14,5.-1.4.1,226-001-BARNES-F14,4,PS,0.0
0039-F14,5.-1.4.0,226-001-BARNES-F14,5,PS,0.0
0039-F14,5.-1.4.1,226-001-BARNES-F14,5,PS,0.0
0039-F14,5.-1.4.0,226-001-BARNES-F14,5,PS,-75.71428571
0039-F14,6.-1.1.0,226-001-BARNES-F14,5,PS,0.0
0039-F14,6.-1.2.0,226-001-BARNES-F14,5,PS,0.0
0039-F14,6.-1.3.0,226-001-BARNES-F14,5,WE,0.0
0039-F14,6.-1.4.0,226-001-BARNES-F14,5,PS,0.0
003a-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0.0
003a-F14,1.0.2.0,226-001-BARNES-F14,1,PS,0.0
003a-F14,1.0.3.0,226-001-BARNES-F14,1,PS,0.0
003a-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-58.55263158
003a-F14,2.-1.1.0,226-001-BARNES-F14,2,WE,0.0
003a-F14,2.-1.2.0,226-001-BARNES-F14,2,WE,0.0
003a-F14,2.-1.3.0,226-001-BARNES-F14,2,PS,0.0
003a-F14,2.-1.4.0,226-001-BARNES-F14,2,PS,5.004244482
003a-F14,3.1.1.0,226-001-BARNES-F14,2,PS,0.0
003a-F14,3.1.2.0,226-001-BARNES-F14,2,WE,0.0
003a-F14,3.1.3.0,226-001-BARNES-F14,2,PS,144.033824
003a-F14,4.1.1.0,226-001-BARNES-F14,2,WE,0.0
003a-F14,4.1.2.0,226-001-BARNES-F14,2,PS,0.0
003a-F14,4.1.3.0,226-001-BARNES-F14,3,PS,0.0
003a-F14,4.1.2.0,226-001-BARNES-F14,4,PS,-139.7711512
003a-F14,5.1.1.0,226-001-BARNES-F14,4,PS,0.0
003a-F14,5.1.2.0,226-001-BARNES-F14,4,WE,0.0
003a-F14,5.1.3.0,226-001-BARNES-F14,4,PS,-5.929596719
003a-F14,6.1.1.0,226-001-BARNES-F14,5,PS,0.0
003a-F14,6.1.2.0,226-001-BARNES-F14,5,WE,0.0
003a-F14,6.1.3.0,226-001-BARNES-F14,5,PS,6.430264276
003b-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0.0
003b-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0.0
003b-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0.0
003b-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-94.73684211
003b-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0.0
003b-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0.0
003b-F14,2.1.3.0,226-001-BARNES-F14,1,PS,-5.263157895
