0,1,2,3,4,5
-346.595148286,173.071639211,-122.273519259,9.43436274425,-5.72288408652,10.4577899894
-352.864762603,222.057694678,-129.901033362,-13.9064336874,-69.7605484642,40.0121608377
9741.45321756,822.730337283,-214.269914438,59.2649750505,57.2255606446,261.856777168
50.1646391298,257.478143785,-131.571708488,37.1412769431,46.1952243022,2.05568442391
-328.591745057,119.512274816,-35.5848982746,-69.3342015924,-3.76593273169,2.10241418789
375.079192578,-146.000615069,30.5272434378,139.549276002,-9.90724236073,-16.8520525074
173.491482522,-317.355245161,-67.6491072032,9.12971802872,53.8541506985,-60.8399754899
-329.278280977,76.302622787,-70.5649257427,-13.079929184,-41.8652564071,20.2852309581
-243.58417941,-574.570239016,83.6731576201,-144.24240851,27.7946046363,-7.04494138045
235.516969315,40.7884255176,-113.003429879,-5.32123508018,-24.2810674001,4.76443628304
690.510646714,-67.5271040826,-187.656635873,-32.1425929672,34.9405065398,-99.3799554374
-264.198079008,-83.4018230055,-11.1915687251,-74.9494008542,-6.97811533969,6.48746282631
-75.807709218,112.81662077,-81.8580812676,36.0809609039,-27.0993264902,-32.0572344526
93.0508478271,-115.57404425,-28.7602306403,-14.3046193702,-10.2896442851,-42.3472045976
-86.517204285,268.045228487,-75.9515968213,26.5235088817,-32.0476970635,-31.5376946011
87.8374467045,192.784159068,-67.6492477837,10.5853479638,-32.0921256502,-49.9055670128
-118.3630223,374.825901737,-54.4492081299,-18.3310882438,-25.6018125326,-23.8460810081
-264.084524385,-456.851410005,21.4130459213,-78.7534500711,69.9229058128,-18.6269509082
-113.746440372,-21.4707570469,-107.880115002,-54.5009504473,42.6510368136,-33.8555253817
286.102275974,72.242146678,-142.53330341,67.0879567112,15.8128163901,-44.4165925988
-49.3729535058,-37.4514733578,-22.0735013686,-118.681648191,61.6110419978,-25.0215306196
-257.598672503,110.040719767,-26.9457625128,-73.8170024038,45.0138194976,-27.7581800715
-278.114057126,226.931715382,-53.4319521852,-41.4228840213,34.1394727056,-24.980525685
-306.681874062,124.960460104,-27.2965146625,13.1315153965,28.8039831428,-28.584472137
-260.269201324,261.250365561,-54.639723654,-31.9215147501,33.8147002769,-18.4724244597
-240.965391869,-53.230711501,21.5524039731,-114.368412053,58.7158494395,-30.6866533845
178.322039982,157.15264688,-78.4977418044,-90.0246741017,34.1526876562,-58.9376058717
-200.153615074,39.7762329824,28.0582206738,-96.7958253888,53.4282028015,-28.0335231244
-130.495108923,253.288588883,-22.7748851485,-43.2562896854,31.5017684275,-34.1529029018
-181.973057381,151.883618699,19.7740772917,12.3692913994,25.1974773145,-39.9847710911
-175.595730923,148.001598169,-129.90290702,31.4301949008,41.5648086032,-21.4561706822
-309.034131002,-89.6057290519,-40.930342605,-66.3797655764,41.2641532832,-1.50538835071
-111.262388225,-296.903308276,-41.1446650264,317.38044215,-31.7843214938,-72.15989768
-224.274143486,133.001137996,-84.3551298379,-68.6760200419,36.0586340714,-13.4966327459
46.4539805066,167.398340288,-89.3820624714,-72.7278916729,38.2392328138,-9.59733177173
55.797347802,224.964105002,-77.1941835388,-61.5829338667,26.0375198098,-30.4912350019
-346.425587734,175.044170803,-122.880774837,16.4113869021,29.9855929061,-4.76085861688
-145.544063399,252.813592945,-140.527491732,2.29555639435,35.4698967289,-1.9119415046
-72.3273892834,-403.525786176,-0.589926755302,134.131124285,19.7270378819,-70.9612791996
-265.490788646,277.884816064,-104.9544952,50.4423705195,22.7056965141,-11.9420073034
-270.192640799,191.181112605,-81.9662983431,37.1016423791,22.0191277439,-30.9100880431
-245.782834808,-69.9573089547,-9.96160871302,-120.419635504,64.0507383711,-26.5485440906
-246.155524919,-68.7228341874,-3.70493720742,-118.977833725,66.266495625,-21.697744337
925.581006544,60.7950567219,-124.93299329,-153.552355307,49.3530632226,-74.014221079
-81.3232057774,235.463791744,4.95555846999,36.5007829693,14.3957589925,-55.4451968421
312.304132561,280.963895809,-188.683654899,21.3593289965,33.7414257175,-33.2613941825
-328.768845095,122.486695598,-38.4791106654,-58.7935656776,54.1462539462,-21.5939279133
34.5676065758,-191.856272531,7.79263339436,139.923061621,26.1305117988,-55.3106752551
-275.842827592,-370.049758946,-7.31876740591,5.64702697711,-35.4597392245,9.50793761056
-35.7138602551,102.693779491,-137.850824529,-18.6295901747,-31.0659864451,-7.17691992784
345.187104611,-512.180635642,10.6554024851,-161.863864605,19.2816284047,-27.5396997724
-215.19473061,2.82984578375,-17.5233168314,7.79777047059,-29.3099487369,-10.4025347403
-148.174754023,-152.251781781,-58.9834094677,2.67819467569,59.0705812102,-29.2741990727
-309.529586255,-98.3572125377,-39.0957369529,-83.9848386362,-51.6493291735,34.7560504378
-204.884357195,91.1358735391,-92.7841274613,35.7977662579,-56.0418158146,2.87598190874
-2.56135044952,-425.765395813,-0.646391423305,-81.7820358452,85.4645659548,-36.2083310417
-312.74153025,-35.4809214211,-40.2095410573,-47.6415184425,25.4001770652,5.89739316933
-110.74576437,33.4396672863,-76.0189094906,76.9265159968,0.533628277828,-29.870197543
-86.0525131947,157.009639149,-143.90320178,27.4942071054,38.573108966,-29.9892294286
-309.807864185,-98.610040224,-35.4634104304,-100.670598805,-133.868959387,70.4577468325
578.473091607,-223.112323902,-94.6700155051,279.826662838,-170.652815946,-42.1135445756
590.116183236,276.557968012,-235.298237881,-11.817382248,28.6998102614,-62.6916414225
-342.624607613,241.460607429,-67.4386986532,2.76968796366,8.49828064995,-1.27050558609
1330.52024426,-228.884268587,-41.034771424,113.074752961,11.2808043841,-51.5731448019
-175.830126451,226.589774612,-141.73137927,33.9085957699,40.0603524698,-15.1819886501
-335.519514513,112.426095656,-80.2412826077,-61.162266973,56.0542776065,-10.5647290134
-28.3071990913,-204.381579739,-8.57030958221,144.389355945,35.9587185323,-22.9030782626
-273.851140491,-374.641222135,-0.985079180018,-12.0819644417,-133.141500312,62.1897637906
-331.286159757,69.4662787411,-91.5684279869,-20.859622872,-107.445916428,39.6714009117
961.036823618,-458.582121779,-107.539510104,-204.309367122,-83.618874755,-60.5413886024
-140.224811219,7.42123810278,-25.9609979886,-8.83241675245,-114.314890615,8.55768380404
1982.9505397,68.3518443667,-357.208726247,-77.8967208726,10.4509276151,-172.85223747
-291.636003703,-68.8532593058,71.4302928787,-72.4161691644,-15.9294566974,-2.34322449492
2042.56263002,358.260445604,-254.730528523,-30.0999799245,-68.7708511048,-146.821679796
-264.433514811,-460.856450435,22.6514239085,-92.9270651366,-2.61639686532,12.314723688
-76.1920681146,-14.2159005256,-83.1622030032,-57.2397170279,-4.10772612567,8.68822642816
-172.134831711,26.6779268941,-60.6936408805,75.0333478683,-33.6456131049,-6.26293372422
-340.822796879,119.94748663,-112.757186264,3.24237830779,-123.07724478,57.8501183906
1472.61968579,102.467084544,-228.209500674,-129.870748461,-72.5346335487,-21.8810168535
172.312652058,-234.627919297,92.1906870135,303.934475289,-139.008623054,-47.8198413618
-123.152093301,-26.1151148521,152.197173461,-74.0203189331,-63.0203148712,5.48629019932
-25.1898181232,215.252218193,-136.29686581,15.2133423508,48.8112087287,-3.82968385489
-346.554693361,234.442041124,-90.2336480988,-3.44932259739,-16.833516511,13.2712600165
307.387291334,-352.25986021,13.9523926198,128.027797139,-7.52794192508,-38.4887542949
227.536317363,273.96304843,-168.028919112,26.8007281316,42.6190665445,-8.7082275194
-328.894507912,120.265649275,-36.2182783282,-69.8041313864,3.51071730383,2.90346790457
181.619583113,-175.466257418,1.06824099454,130.410572846,-11.6330928552,-36.5334612665
-276.269476573,-371.553377764,-7.30562071361,0.358125407323,-61.6812644464,18.9538114552
16.2698441533,109.870368095,-130.173477826,-19.3962902576,-45.3128768894,15.2583693685
-5.68585278115,-549.749952069,56.414744566,-155.493508736,1.95155479993,-11.6120324999
-92.1144003598,11.7999358207,-42.2496784842,4.14295824051,-42.4266580029,20.6497903021
-300.599960095,-173.136049809,-45.6739973168,-4.61841129585,2.9973811348,3.57473093467
-311.101109333,-97.2701399485,-55.4752627296,-68.366048324,23.3221766651,1.47004872292
-126.321892791,103.743510126,-88.0623179783,48.3948931113,2.19584959238,18.1665615287
-264.139785726,-457.376069336,21.5968008708,-80.5736450507,60.4741291641,-14.4948897309
122.088743918,15.9431335022,-70.9163801676,-45.802862501,55.4258044937,21.7782655324
-186.776558338,37.1907604026,-13.7331649263,85.9980464387,14.8960348406,-24.1866590915
403.056990553,228.528854344,-101.218848928,39.1256446121,68.8829960841,52.660786081
-291.508101298,-62.5344768192,70.7149881589,-63.1126284008,32.5297951863,-20.2853777724
1168.78489119,-101.344500366,93.6238650396,326.613226058,3.00170852769,23.3231621244
-270.725210983,202.119054356,254.677330605,-53.9147292422,19.1093394219,-63.0927747557
-156.512811888,270.170803686,256.916257572,-37.7760011565,21.4966337991,-42.8573018249
25.1874418957,241.230604132,252.409304866,-62.217740246,12.6044158252,-82.1222803141
-27.2312597632,242.094404345,290.344456221,-57.2858813913,16.7174107567,-69.829358355
97.3818887692,261.245184761,301.185888678,-59.6835916002,13.2574455463,-80.0655727245
-247.923476906,229.978396573,367.192227557,-50.7462710427,13.0929953967,-80.2259709743
647.109369993,331.509844267,289.471457864,-71.4430050561,7.82909561927,-95.9931851259
250.774557021,313.432715728,450.323417183,-49.0757936556,18.6110460366,-67.5869366225
195.852168823,322.185999813,520.156497916,-47.786529717,10.0836328586,-93.0679772843
-332.444153557,64.079385429,-94.2520891742,-39.0164762706,43.7839800864,-2.7105427852
-183.905463398,181.309129405,-116.238067051,-28.4268931364,44.3783314148,2.28533557326
-304.494764521,271.883596143,-107.955406611,52.0605441985,23.5968455198,-4.97474582969
-189.869995792,201.269079442,-82.1438256435,39.3881250883,27.1391233392,-13.27989388
-324.30899123,282.997679947,-144.985958819,34.305314937,38.94746173,-9.52074010006
-152.585119181,100.326827624,-86.5438915156,-25.4819264434,62.9088507149,-1.43589084974
-343.930527845,209.623009444,-82.252505009,-45.8301137247,4.91396955343,12.0237550385
-299.353487368,45.0227743824,-41.9831639922,-84.8079696251,29.0286488012,-6.02165815048
-5.32254269603,82.1021966485,-48.4736202835,-87.999640451,32.917052485,3.65662022445
-109.029877805,275.569737826,-13.0239047122,-30.1931977822,25.3779416934,30.1322543553
32.5378956637,-332.245636432,-48.1223640969,15.1323203105,59.3119839916,-43.9711937655
-330.725109622,78.013167122,-81.6865413114,0.544306588524,32.5679710788,-11.0596137115
-244.455054091,-576.163999451,74.1738508004,-140.870339424,58.1489041411,-5.84957360505
63.9071117651,34.168000794,-41.470726814,17.8113308554,27.8506525984,35.018157604
-301.035148129,-173.874675682,-46.6255784664,-6.58228449486,-6.01515470767,6.18471504296
-311.317170985,-99.4742354458,-55.5993161145,-75.5787328348,-14.8018879349,17.3973161392
-136.991932788,103.740640546,-72.8177157643,47.1256706643,-23.5365872338,42.8155959368
-264.215774633,-458.230386715,21.8644463054,-83.5911083135,45.0094521348,-7.88195738588
-155.860856244,-17.3903238278,-52.4298907604,-42.3583974206,43.2858897806,26.6605970916
-183.44985821,31.7059862162,-35.4765918886,85.692693316,8.60460123915,-2.95242210271
-338.957976776,120.754343778,-109.601975986,5.36014584028,-117.59055088,64.5803293976
418.542629098,15.1666223059,38.6216550544,-57.8547715065,-1.20879755974,176.264897312
296.80768833,-193.892552055,221.854364477,331.462560575,-97.9952097351,59.6281879365
-346.657921818,172.384372522,-122.053603404,7.0175926013,-18.1435184794,15.7907273941
-211.352997727,248.544594188,-108.93980765,4.93728361807,7.96739747743,37.7559125622
210.022191265,-348.08425291,107.200764114,154.132600945,17.9874539023,38.7509717136
-283.622163006,289.750800618,-136.81819141,36.7040285765,43.5474575643,3.42486387262
-330.078491252,78.3652806386,-76.1973522227,-28.8786557808,39.0523834967,-5.24146309873
-346.912343354,202.294555284,-99.5289714445,-57.0783381901,-50.5211091182,38.019665081
81.1675139768,95.0558501148,-23.0748853781,-83.4252032966,3.24079603115,68.7811689544
503.656992005,-291.245137573,-151.603205627,-10.735506184,36.6881107677,-104.59201798
-331.779033554,68.213063803,-83.7718747198,-28.7997570542,-118.527431711,56.7331845558
-242.938217245,-589.252809859,78.2225310328,-185.088310821,-198.051315238,103.441908693
293.115466107,35.2794755512,-140.426872112,-45.3488915901,-231.888260577,19.0190403368
-99.1179735815,-345.311303461,26.8764642116,-21.1626597123,-210.285794294,36.8119654077
1507.57868298,17.3899845549,-300.522269814,-62.8327006556,10.6854472575,-170.609542785
-296.931855694,-83.0538210207,43.0364390127,-94.5223919392,-132.587557672,47.6894243493
-205.038239133,107.153699499,-7.70816305959,31.4234472171,-119.665013903,4.32575502335
380.612174855,-79.0649406821,-17.5241238059,-35.4122470567,-115.717699602,-42.9247198518
-63.4105816577,185.157320511,11.860284547,7.50861225799,-124.93179111,-13.7101443033
-151.403635441,275.888553082,20.2910243405,20.7144866251,-129.580259539,-9.73730132083
1469.48258878,-267.039904149,-173.564303046,-128.840801401,54.5781355142,-128.557540343
-298.030034788,-17.158875905,61.1899843384,-62.9534997505,-85.2299166014,20.310277535
972.307009609,174.306030969,-73.4273443008,42.8890270106,-96.5617663476,-63.2306501997
46.0304365041,-373.259025913,228.833382755,-92.527592453,-48.0931878335,-68.5193375727
1989.54339028,237.396624293,-10.7611223165,-6.19236046943,-100.11396895,-107.670550073
53.9645904243,249.193120928,338.906245144,10.4474361866,-93.1609308827,-80.1171693684
-341.248529123,111.9841315,-109.955674053,-24.978723382,-268.021373671,121.309130555
